country,year,exports,imports,gdp,net_exports
BWA,2010,5325894408.36078,6633895056.02679,12637273429.1339,-1308000647.66601
BWA,2011,6684404436.05826,8269310273.57506,15110643612.1729,-1584905837.5168
BWA,2012,6691579858.7139,8867435078.08691,13907464500.1489,-2175855219.3730106
BWA,2013,8759959354.23986,9191467724.13747,14271738933.2042,-431508369.8976097
BWA,2014,9480529368.99091,9005846102.3589,15470088500.7414,474683266.6320095
BWA,2015,7183595978.7509,8092740027.83298,13530748844.505,-909144049.0820799
BWA,2016,8236832499.81332,6915892155.67741,15082637184.0496,1320940344.13591
BWA,2017,6912339736.57387,6281640316.61235,16105155856.7708,630699419.9615192
BWA,2018,7532912345.37339,7362391280.37078,17031943186.1353,170521065.0026102
BWA,2019,6203274315.31089,7694781424.87258,16725908148.5481,-1491507109.5616894
BWA,2020,4681117525.27574,6937525193.68917,14960291105.9316,-2256407668.41343
BWA,2021,7858679909.85688,8783747388.21808,18750946600.1423,-925067478.3612003
BWA,2022,8848562925.38457,8548721137.88168,20321958850.0363,299841787.50288963
BWA,2023,6260105935.04954,7095497209.44686,19396084498.0084,-835391274.3973207
CAF,1960,26101663.4259752,38336816.1177087,112155598.492157,-12235152.691733498
CAF,1961,32618432.1655383,44034883.4234767,123134583.463559,-11416451.257938404
CAF,1962,30610519.6477239,46936114.6443921,124482773.83306,-16325594.996668205
CAF,1963,32650882.1445961,49792597.3111892,129379123.76305,-17141715.166593097
CAF,1964,40403677.005895,57952751.4791991,142025078.735754,-17549074.473304093
CAF,1965,40806173.5372314,56720586.8888103,150574795.409863,-15914413.351578899
CAF,1966,44773974.2010814,67160961.3016221,157930018.091087,-22386987.10054069
CAF,1967,43089266.5945851,76828934.6929238,163820513.562432,-33739668.0983387
CAF,1968,65799815.5423568,75999786.9486188,191767441.604577,-10199971.406262003
CAF,1969,51399886.5074055,70699843.8924819,188039210.130379,-19299957.385076396
CAF,1970,60397784.8485851,78597117.3691853,189106529.207011,-18199332.5206002
CAF,1971,60030793.1039366,75389864.2006423,201450799.82635,-15359071.096705705
CAF,1972,57429305.1610568,77877586.4123817,230317883.36443,-20448281.251324892
CAF,1973,77607287.9229855,98946254.8301413,271183082.043062,-21338966.90715581
CAF,1974,78051063.3886003,121947261.529635,281398705.570596,-43896198.14103469
CAF,1975,80012173.7888853,151160965.112226,378660016.265936,-71148791.32334071
CAF,1976,100096593.229893,132307726.469902,451152461.31276,-32211133.240008995
CAF,1977,127861442.610841,174129612.92156,507298147.526539,-46268170.31071898
CAF,1978,142999455.010829,206899211.480703,610578631.992983,-63899756.469873995
CAF,1979,157199524.08792,246199254.646603,700764747.756462,-88999730.55868298
CAF,1980,201027871.816561,327433639.757524,797048198.534875,-126405767.940963
CAF,1981,169417093.942378,236648334.55993,694803622.898966,-67231240.61755198
CAF,1982,165958867.191733,256106223.578162,748312390.756606,-90147356.38642901
CAF,1983,159064467.503475,241183744.331389,658679332.681331,-82119276.827914
CAF,1984,149211730.986615,226437036.664867,637820670.299604,-77225305.67825201
CAF,1985,190340640.209863,273603680.07901,864849836.286193,-83263039.869147
CAF,1986,204099898.914805,321221783.155046,1122265013.42004,-117121884.24024099
CAF,1987,214306703.887828,342886733.361913,1200991977.80801,-128580029.47408503
CAF,1988,224453247.444129,316906377.069859,1264899287.51261,-92453129.62573004
CAF,1989,250535801.891474,326536959.466374,1233930280.91724,-76001157.57489997
